,Account ID,Full Account ID,Full User ID,Owner AMA / AUM,Connect 2021 from Opty,Connect 2021,Connect 2020 from Opty,Connect 2020,Connect 2019,Account Currency,JUNO Account ID,Kaseya Market Segment,Auto Renewal Op Out,# of Closed Won Opportunities,Account Record Type,Type,Last Activity,Last Modified Date,"Owner Type (1 IS AMA, 0 IS NOT) ",Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,1 -> Renewable 0 -> Evergreen,Duration
20,0013a00001ZxmZ5,0013a00001ZxmZ5AAJ,0054w00000AR1dtAAD,AUM,0,0,0,0,0,GBP,3534.0,MSP,0,1,End User,Customer,1/26/2022,2/2/2022,0,0013a00001ZxmZ5AAJ,6/7/2017,,6/7/2017,Evergreen,0,1709
21,0013a00001ZxmjK,0013a00001ZxmjKAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,9040.0,MSP,0,2,End User,Customer,1/25/2022,2/10/2022,1,0013a00001ZxmjKAAR,7/3/2020,7/2/2023,10/7/2020,Renewable,1,1094
22,0013a00001Zxmqu,0013a00001ZxmquAAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,3804.0,MSP,0,11,End User,Customer,2/4/2022,2/10/2022,1,0013a00001ZxmquAAB,7/27/2017,6/26/2024,10/22/2021,Renewable,1,2526
23,0013a00001Zxmzh,0013a00001ZxmzhAAB,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,6789.0,MSP,1,7,End User,Customer,10/26/2021,2/10/2022,1,0013a00001ZxmzhAAB,3/27/2019,3/26/2022,12/20/2021,Renewable,1,1095
24,0013a00001Zxo8T,0013a00001Zxo8TAAR,0054w00000AWVijAAH,AMA,0,0,0,0,0,USD,2531.0,MSP,0,17,Reseller,Customer,2/1/2022,2/10/2022,1,0013a00001Zxo8TAAR,11/18/2016,12/31/2023,11/23/2021,Renewable,1,2599
25,0013a00001ZxoLt,0013a00001ZxoLtAAJ,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,3259.0,MSP,0,2,End User,Customer,11/17/2021,2/10/2022,1,0013a00001ZxoLtAAJ,4/13/2017,,4/13/2017,Evergreen,0,1764
26,0013a00001Zxom1,0013a00001Zxom1AAB,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,5043.0,MSP,0,5,End User,Customer,1/21/2022,2/10/2022,1,0013a00001Zxom1AAB,5/4/2018,,5/4/2018,Evergreen,0,1378
27,0013a00001Zxq1K,0013a00001Zxq1KAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,3936.0,MSP,0,7,End User,Customer,2/4/2022,2/10/2022,1,0013a00001Zxq1KAAR,8/24/2017,2/16/2025,2/17/2022,Renewable,1,2733
28,0013a00001Zxq4Y,0013a00001Zxq4YAAR,005j000000Ec0QcAAJ,AMA,0,0,0,0,1,USD,6170.0,MSP,0,8,End User,Customer,11/15/2021,1/3/2022,1,0013a00001Zxq4YAAR,11/28/2018,,11/28/2018,Evergreen,0,1170
29,0013a00001Zxq6p,0013a00001Zxq6pAAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,2399.0,MSP,0,7,End User,Customer,2/10/2022,2/10/2022,1,0013a00001Zxq6pAAB,10/28/2016,6/30/2024,7/1/2021,Renewable,1,2802
30,0013a00001ZxqOM,0013a00001ZxqOMAAZ,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,2869.0,MSP,0,3,End User,Prospect,2/4/2022,2/10/2022,1,0013a00001ZxqOMAAZ,1/20/2017,,1/20/2017,Evergreen,0,1847
31,0013a00001ZxqPe,0013a00001ZxqPeAAJ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,7967.0,MSP,0,1,End User,Customer,2/10/2022,2/10/2022,1,0013a00001ZxqPeAAJ,11/26/2019,11/25/2022,11/26/2019,Renewable,1,1095
32,0013a00001ZxqQ3,0013a00001ZxqQ3AAJ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5791.0,MSP,0,3,End User,Customer,2/4/2022,2/10/2022,1,0013a00001ZxqQ3AAJ,10/16/2018,10/14/2024,10/15/2021,Renewable,1,2190
33,0013a00001ZxqQr,0013a00001ZxqQrAAJ,0054w00000AR3YWAA1,AMA,0,0,0,0,0,USD,6852.0,MSP,0,18,End User,Partner,1/24/2022,2/10/2022,1,0013a00001ZxqQrAAJ,4/10/2019,4/9/2023,8/20/2021,Renewable,1,1460
34,0013a00001ZxqRa,0013a00001ZxqRaAAJ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5788.0,MSP,0,0,End User,Customer,1/5/2022,2/9/2022,1,0013a00001ZxqRaAAJ,10/16/2018,10/15/2021,10/16/2018,Renewable,1,1095
35,0013a00001ZxqV8,0013a00001ZxqV8AAJ,0053a00000K46dKAAR,AMA,0,0,0,0,0,AUD,7911.0,MSP,0,23,End User,Customer,2/2/2022,2/10/2022,1,0013a00001ZxqV8AAJ,11/18/2019,11/17/2022,4/1/2021,Renewable,1,1095
36,0013a00001ZxrQ9,0013a00001ZxrQ9AAJ,005f100000IUgsUAAT,AMA,0,0,0,0,0,USD,6848.0,MSP,0,10,Reseller,Customer,1/26/2022,2/10/2022,1,0013a00001ZxrQ9AAJ,4/4/2019,9/16/2024,9/17/2021,Renewable,1,1992
37,0013a00001ZxrVY,0013a00001ZxrVYAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5099.0,MSP,0,2,End User,Customer,10/26/2021,2/10/2022,1,0013a00001ZxrVYAAZ,9/14/2021,9/13/2024,9/14/2021,Renewable,1,1095
38,0013a00001ZxrWR,0013a00001ZxrWRAAZ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,7957.0,MSP,0,1,End User,Customer,1/26/2022,2/10/2022,1,0013a00001ZxrWRAAZ,11/25/2019,11/24/2022,11/25/2019,Renewable,1,1095
39,0013a00001ZxrZ6,0013a00001ZxrZ6AAJ,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,4351.0,MSP,0,11,End User,Customer,1/18/2022,2/10/2022,1,0013a00001ZxrZ6AAJ,11/29/2017,5/30/2024,9/17/2021,Renewable,1,2374
40,0013a00001Zxs4k,0013a00001Zxs4kAAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5698.0,MSP,0,2,End User,Customer,1/5/2022,2/10/2022,1,0013a00001Zxs4kAAB,10/3/2018,10/2/2024,10/3/2021,Renewable,1,2191
41,0013a00001Zxs7F,0013a00001Zxs7FAAR,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,4595.0,MSP,0,2,End User,Customer,2/10/2022,2/10/2022,1,0013a00001Zxs7FAAR,1/23/2018,,1/23/2018,Evergreen,0,1479
42,0013a00001Zxs8c,0013a00001Zxs8cAAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,4380.0,MSP,0,12,End User,Customer,1/29/2022,2/10/2022,1,0013a00001Zxs8cAAB,12/4/2017,,3/15/2021,Evergreen,0,1529
43,0013a00001ZxsFE,0013a00001ZxsFEAAZ,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,3538.0,MSP,0,3,End User,Customer,1/25/2022,2/10/2022,1,0013a00001ZxsFEAAZ,6/7/2017,8/6/2023,8/7/2020,Renewable,1,2251
44,0013a00001Zxt3S,0013a00001Zxt3SAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,4644.0,MSP,0,8,End User,Customer,1/28/2022,2/10/2022,1,0013a00001Zxt3SAAR,1/31/2018,6/22/2023,6/23/2020,Evergreen,0,1968
45,0013a00001Zxt4u,0013a00001Zxt4uAAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,10487.0,MSP,0,3,End User,Customer,10/26/2021,2/10/2022,1,0013a00001Zxt4uAAB,3/8/2021,3/7/2024,7/7/2021,Renewable,1,1095
46,0013a00001Zxt6b,0013a00001Zxt6bAAB,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,2984.0,MSP,0,4,End User,Customer,2/10/2022,2/10/2022,1,0013a00001Zxt6bAAB,2/10/2017,,2/10/2017,Evergreen,0,1826
47,0013a00001Zxt7F,0013a00001Zxt7FAAR,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,2590.0,MSP,0,1,End User,Customer,10/26/2021,2/9/2022,1,0013a00001Zxt7FAAR,3/6/2017,8/5/2020,3/6/2017,Evergreen,0,1248
48,0013a00001Zxtdr,0013a00001ZxtdrAAB,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,4309.0,MSP,0,3,End User,Customer,1/26/2022,2/10/2022,1,0013a00001ZxtdrAAB,11/15/2017,,11/15/2017,Evergreen,0,1548
49,0013a00001Zxth5,0013a00001Zxth5AAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,5669.0,MSP,0,3,End User,Customer,12/16/2021,2/10/2022,1,0013a00001Zxth5AAB,10/2/2018,,10/2/2018,Evergreen,0,1227
50,0013a00001ZxtiD,0013a00001ZxtiDAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,11307.0,MSP,0,2,End User,Customer,1/25/2022,2/10/2022,1,0013a00001ZxtiDAAR,10/9/2018,8/31/2024,9/1/2021,Renewable,1,2153
51,0013a00001Zxtir,0013a00001ZxtirAAB,0054w00000AQzJ8AAL,AMA,0,0,1,1,0,USD,6736.0,Healthcare,1,5,End User,Customer,1/26/2022,2/10/2022,1,0013a00001ZxtirAAB,3/26/2019,,3/26/2019,Evergreen,0,1052
52,0013a00001ZxtjQ,0013a00001ZxtjQAAR,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,6345.0,MSP,0,6,End User,Customer,1/28/2022,2/10/2022,1,0013a00001ZxtjQAAR,12/17/2018,,12/17/2018,Evergreen,0,1151
53,0013a00001ZxtmP,0013a00001ZxtmPAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,6824.0,MSP,0,2,End User,Customer,12/22/2021,2/10/2022,1,0013a00001ZxtmPAAR,4/4/2019,,4/4/2019,Evergreen,0,1043
54,0013a00001Zxtuv,0013a00001ZxtuvAAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,6575.0,MSP,0,5,End User,Customer,1/31/2022,2/10/2022,1,0013a00001ZxtuvAAB,2/20/2019,2/19/2024,2/20/2021,Renewable,1,1825
55,0013a00001ZxtxL,0013a00001ZxtxLAAR,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,6444.0,MSP,0,0,End User,Customer,10/26/2021,11/15/2021,1,0013a00001ZxtxLAAR,1/24/2019,3/23/2020,1/24/2019,Evergreen,0,424
56,0013a00001ZxtyT,0013a00001ZxtyTAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,6421.0,MSP,0,2,End User,Customer,12/30/2021,2/10/2022,1,0013a00001ZxtyTAAR,1/16/2019,6/22/2021,6/23/2021,Renewable,1,888
57,0013a00001Zxtz2,0013a00001Zxtz2AAB,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,6392.0,MSP,0,3,End User,Customer,12/29/2021,2/10/2022,1,0013a00001Zxtz2AAB,1/7/2019,12/3/2022,12/4/2019,Renewable,1,1426
58,0013a00001Zxuhn,0013a00001ZxuhnAAB,0053a00000K5OVqAAN,AMA,0,0,0,0,0,USD,9719.0,Financial Services,0,7,End User,Customer,3/10/2022,2/10/2022,1,0013a00001ZxuhnAAB,11/1/2020,10/31/2023,1/1/2021,Renewable,1,1094
59,0013a00001ZxuqV,0013a00001ZxuqVAAR,0054w00000AR2rDAAT,AMA,0,0,0,0,0,USD,2434.0,MSP,0,4,End User,Customer,12/29/2021,2/10/2022,1,0013a00001ZxuqVAAR,11/3/2016,10/2/2024,10/4/2021,Renewable,1,2890
60,0013a00001Zxurx,0013a00001ZxurxAAB,0053a00000P8VryAAF,AMA,0,0,0,0,0,USD,8216.0,MSP,0,3,Reseller,Customer,1/18/2022,2/2/2022,1,0013a00001ZxurxAAB,1/21/2020,7/20/2023,7/21/2020,Renewable,1,1276
61,0013a00001Zxusv,0013a00001ZxusvAAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,2421.0,MSP,0,1,End User,Customer,1/14/2022,2/10/2022,1,0013a00001ZxusvAAB,10/31/2016,,10/31/2016,Evergreen,0,1928
62,0013a00001Zxvsk,0013a00001ZxvskAAB,0053a00000Oc4rxAAB,AMA,0,0,2,1,1,USD,1983.0,MSP,0,13,Reseller,Customer,2/9/2022,2/10/2022,1,0013a00001ZxvskAAB,4/16/2019,8/9/2024,8/10/2021,Renewable,1,1942
63,0013a00001ZxxMz,0013a00001ZxxMzAAJ,0053a00000PcdwcAAB,AMA,0,0,0,0,0,AUD,9520.0,MSP,0,11,End User,Customer,2/8/2022,2/10/2022,1,0013a00001ZxxMzAAJ,10/2/2020,4/10/2022,10/2/2020,Renewable,1,555
64,0013a00001Zxz67,0013a00001Zxz67AAB,0053a00000ObXczAAF,AUM,0,0,0,0,0,USD,4965.0,MSP,0,19,End User,Customer,10/21/2022,2/10/2022,0,0013a00001Zxz67AAB,4/13/2018,8/12/2023,8/13/2021,Evergreen,0,1947
65,0013a00001Zy1PD,0013a00001Zy1PDAAZ,005f100000H9wgZAAR,AMA,0,0,0,0,0,EUR,2508990000000000.0,MSP,0,2,End User,Customer,1/25/2022,2/9/2022,1,0013a00001Zy1PDAAZ,1/24/2022,1/23/2023,1/24/2022,Renewable,1,364
66,0013a00001Zy1vk,0013a00001Zy1vkAAB,0053a00000Pe80lAAB,AMA,0,0,0,0,0,USD,5753.0,MSP,0,20,End User,Customer,2/10/2022,2/10/2022,1,0013a00001Zy1vkAAB,10/10/2018,7/31/2022,9/30/2021,Renewable,1,1390
67,0013a00001Zy4mf,0013a00001Zy4mfAAB,0053a00000NKz4xAAD,AMA,0,0,1,1,0,USD,8415.0,MSP,0,8,End User,Customer,2/3/2022,2/10/2022,1,0013a00001Zy4mfAAB,3/3/2020,7/5/2022,3/3/2020,Renewable,1,854
68,0013a00001Zy7wf,0013a00001Zy7wfAAB,0053a00000PdkmgAAB,AMA,0,0,0,0,0,CAD,7203.0,General Business,0,1,End User,Customer,1/19/2022,2/10/2022,1,0013a00001Zy7wfAAB,6/3/2019,9/2/2021,9/3/2019,Renewable,1,822
69,0013a00001Zy8Nd,0013a00001Zy8NdAAJ,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,1102830000000000.0,MSP,0,15,End User,Customer,1/9/2022,2/9/2022,1,0013a00001Zy8NdAAJ,5/2/2019,4/11/2022,4/12/2021,Renewable,1,1075
70,0013a00001ZyWJV,0013a00001ZyWJVAA3,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,7498.0,MSP,0,4,End User,Customer,10/26/2021,2/10/2022,1,0013a00001ZyWJVAA3,8/21/2019,4/18/2022,4/19/2021,Renewable,1,971
71,0013a00001ZyWV3,0013a00001ZyWV3AAN,005f100000H9aQUAAZ,AUM,0,0,0,0,0,USD,9268.0,MSP,1,2,End User,Customer,10/28/2021,2/10/2022,0,0013a00001ZyWV3AAN,8/20/2020,8/20/2020,8/20/2020,Renewable,1,0
72,0013a00001ZyXOr,0013a00001ZyXOrAAN,0054w00000AR2r8AAD,AMA,0,0,1,1,0,USD,7548.0,MSP,0,12,End User,Customer,3/23/2022,2/10/2022,1,0013a00001ZyXOrAAN,9/2/2019,9/1/2022,10/2/2019,Renewable,1,1095
73,0013a00001Zydd5,0013a00001Zydd5AAB,0053a00000POk5iAAD,AUM,0,0,0,0,0,USD,9854.0,MSP,0,2,End User,Customer,2/3/2022,2/10/2022,0,0013a00001Zydd5AAB,11/23/2020,11/22/2023,11/23/2020,Renewable,1,1094
74,0013a00001Zyfek,0013a00001ZyfekAAB,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,6972.0,MSP,0,2,End User,Customer,10/26/2021,2/10/2022,1,0013a00001ZyfekAAB,4/25/2019,4/24/2020,4/25/2019,Renewable,1,365
75,0013a00001ZyhwG,0013a00001ZyhwGAAR,0053a00000Oc4rxAAB,AMA,0,0,0,0,0,CAD,11952.0,MSP,0,2,End User,Customer,2/9/2022,2/10/2022,1,0013a00001ZyhwGAAR,2/1/2022,4/30/2025,5/1/2022,Renewable,1,1184
76,0013a00001ZyiQQ,0013a00001ZyiQQAAZ,0054w00000AWYceAAH,AMA,0,0,0,0,0,USD,8140.0,MSP,0,8,End User,Customer,2/8/2022,2/10/2022,1,0013a00001ZyiQQAAZ,12/30/2019,12/29/2023,12/30/2020,Renewable,1,1460
77,0013a00001Zyj1E,0013a00001Zyj1EAAR,0053a00000K46dKAAR,AMA,0,0,0,0,0,AUD,5965.0,MSP,0,20,End User,Customer,2/8/2022,2/10/2022,1,0013a00001Zyj1EAAR,6/7/2019,5/23/2024,2/1/2022,Renewable,1,1812
78,0013a00001ZylkW,0013a00001ZylkWAAR,0053a00000Oc4rxAAB,AMA,0,0,0,0,0,USD,7158.0,MSP,0,8,End User,Customer,2/10/2022,2/10/2022,1,0013a00001ZylkWAAR,5/24/2019,5/23/2023,5/24/2020,Renewable,1,1460
79,0013a00001ZyreK,0013a00001ZyreKAAR,0054w00000AWM1RAAX,AUM,0,0,0,0,0,GBP,878040000000000.0,Education,1,5,End User,Customer,1/21/2022,2/9/2022,0,0013a00001ZyreKAAR,11/30/2018,11/29/2023,8/10/2021,Renewable,1,1825
80,0013a00001Zyrjy,0013a00001ZyrjyAAB,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,8717.0,MSP,0,7,End User,Partner,10/26/2021,2/10/2022,1,0013a00001ZyrjyAAB,5/5/2020,5/4/2022,5/5/2021,Renewable,1,729
81,0013a00001Zyrwn,0013a00001ZyrwnAAB,0054w00000AR2AxAAL,AMA,0,0,0,0,0,CAD,5580.0,MSP,0,10,End User,Customer,2/9/2022,2/10/2022,1,0013a00001ZyrwnAAB,9/20/2018,9/22/2022,9/23/2019,Renewable,1,1463
82,0013a00001Zys1O,0013a00001Zys1OAAR,0054w00000AWM1RAAX,AUM,0,0,0,0,0,GBP,1074460000000000.0,General Business,0,4,End User,Customer,2/3/2022,2/10/2022,0,0013a00001Zys1OAAR,4/18/2019,4/17/2024,4/18/2021,Renewable,1,1826
83,0013a00001ZytoE,0013a00001ZytoEAAR,0054w00000AR30tAAD,AUM,0,0,0,0,0,USD,11420.0,General Business,0,1,End User,Customer,1/24/2022,2/10/2022,0,0013a00001ZytoEAAR,10/4/2021,4/3/2025,4/4/2022,Renewable,1,1277
84,0013a00001ZyuaM,0013a00001ZyuaMAAR,0053a00000PcqwkAAB,AMA,0,0,0,0,0,GBP,2115550000000000.0,Channel,0,19,Reseller,Customer,2/17/2022,2/10/2022,1,0013a00001ZyuaMAAR,4/22/2021,4/21/2024,4/22/2021,Renewable,1,1095
85,0013a00001ZywHw,0013a00001ZywHwAAJ,0053a00000Pbj32AAB,AMA,0,0,1,1,0,USD,1033.0,MSP,0,7,End User,Customer,2/17/2022,2/10/2022,1,0013a00001ZywHwAAJ,1/18/2016,,1/18/2016,Evergreen,0,2215
86,0013a00001ZywzB,0013a00001ZywzBAAR,0054w00000AR3YWAA1,AMA,0,0,0,0,0,USD,7501.0,MSP,0,15,End User,Partner,2/10/2022,2/10/2022,1,0013a00001ZywzBAAR,8/13/2019,3/31/2023,4/17/2020,Renewable,1,1326
87,0013a00001Zyyql,0013a00001ZyyqlAAB,0053a00000Pe80WAAR,AMA,0,0,0,0,0,USD,4668.0,MSP,0,28,End User,Customer,2/14/2022,2/10/2022,1,0013a00001ZyyqlAAB,2/2/2018,12/13/2025,1/3/2021,Renewable,1,2871
88,0013a00001Zyz3f,0013a00001Zyz3fAAB,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,8198.0,MSP,0,5,End User,Customer,12/29/2021,2/10/2022,1,0013a00001Zyz3fAAB,1/20/2020,1/19/2023,1/20/2022,Renewable,1,1095
89,0013a00001Zz0zd,0013a00001Zz0zdAAB,0053a00000K4gJzAAJ,AMA,0,0,2,1,0,USD,10095.0,MSP,0,14,End User,Partner,2/8/2022,2/10/2022,1,0013a00001Zz0zdAAB,1/4/2021,4/3/2024,4/4/2021,Renewable,1,1185
90,0013a00001Zz1JQ,0013a00001Zz1JQAAZ,005j000000BZUboAAH,AMA,0,0,1,1,0,USD,7040.0,MSP,0,20,End User,Customer,10/29/2021,2/10/2022,1,0013a00001Zz1JQAAZ,5/10/2019,4/5/2023,8/27/2021,Renewable,1,1426
91,0013a00001Zz1LT,0013a00001Zz1LTAAZ,005f100000HI8ajAAD,AMA,0,0,0,0,0,USD,7029.0,MSP,0,7,End User,Customer,2/10/2022,2/10/2022,1,0013a00001Zz1LTAAZ,5/9/2019,5/8/2022,5/9/2021,Renewable,1,1095
92,0013a00001Zz4RK,0013a00001Zz4RKAAZ,0054w00000AR2B7AAL,AMA,0,0,0,0,0,USD,6823.0,MSP,0,14,End User,Customer,2/4/2022,2/10/2022,1,0013a00001Zz4RKAAZ,5/17/2019,5/16/2024,10/13/2021,Renewable,1,1826
93,0013a00001Zz4b2,0013a00001Zz4b2AAB,0053a00000Pehh6AAB,AMA,0,0,0,0,0,USD,7097.0,MSP,0,2,End User,Customer,1/20/2022,2/10/2022,1,0013a00001Zz4b2AAB,5/22/2019,9/21/2023,9/29/2020,Evergreen,0,1583
94,0013a00001Zz58N,0013a00001Zz58NAAR,0054w00000AWKwpAAH,,0,0,0,0,0,USD,6784.0,MSP,0,11,End User,Customer,2/10/2022,2/10/2022,0,0013a00001Zz58NAAR,4/1/2019,4/1/2022,4/1/2019,Renewable,1,1096
